crossing time (s)	slope (V/s)	crossing number
281474976710655.000000	5.069419	1838	424498036736.000000
281474976710655.000000	4.917431	1839	424499118080.000000
281474976710655.000000	4.835823	1840	424500133888.000000
281474976710655.000000	5.350312	1841	424501215232.000000
281474976710655.000000	4.777859	1842	424502231040.000000
281474976710655.000000	5.064689	1843	424503279616.000000
281474976710655.000000	4.671812	1844	424504328192.000000
281474976710655.000000	5.336067	1845	424505376768.000000
281474976710655.000000	4.745964	1846	424506425344.000000
281474976710655.000000	4.918331	1847	424507473920.000000
281474976710655.000000	4.684132	1848	424508522496.000000
281474976710655.000000	5.201935	1849	424509538304.000000
281474976710655.000000	4.712878	1850	424510619648.000000
281474976710655.000000	5.220879	1851	424511635456.000000
281474976710655.000000	4.647438	1852	424512684032.000000
281474976710655.000000	5.220972	1853	424513732608.000000
281474976710655.000000	4.683970	1854	424514781184.000000
281474976710655.000000	5.001024	1855	424515829760.000000
281474976710655.000000	4.653690	1856	424516878336.000000
281474976710655.000000	5.032691	1857	424517894144.000000
281474976710655.000000	4.670892	1858	424518975488.000000
281474976710655.000000	4.954102	1859	424519991296.000000
281474976710655.000000	4.688374	1860	424521072640.000000
281474976710655.000000	5.107808	1861	424522088448.000000
281474976710655.000000	4.702613	1862	424523137024.000000
281474976710655.000000	5.089959	1863	424524185600.000000
281474976710655.000000	4.675040	1864	424525234176.000000
281474976710655.000000	4.935175	1865	424526282752.000000
281474976710655.000000	4.717273	1866	424527298560.000000
281474976710655.000000	5.156614	1867	424528379904.000000
281474976710655.000000	4.778715	1868	424529395712.000000
281474976710655.000000	4.878515	1869	424530477056.000000
281474976710655.000000	4.715940	1870	424531492864.000000
281474976710655.000000	4.960744	1871	424532574208.000000
281474976710655.000000	4.797909	1872	424533590016.000000
281474976710655.000000	4.941920	1873	424534671360.000000
281474976710655.000000	4.782171	1874	424535654400.000000
281474976710655.000000	4.848601	1875	424536768512.000000
281474976710655.000000	4.749019	1876	424537751552.000000
281474976710655.000000	4.888943	1877	424538865664.000000
281474976710655.000000	4.797209	1878	424539848704.000000
281474976710655.000000	4.784817	1879	424540962816.000000
281474976710655.000000	4.780566	1880	424541945856.000000
281474976710655.000000	4.858751	1881	424543027200.000000
281474976710655.000000	4.832249	1882	424544043008.000000
281474976710655.000000	4.751961	1883	424545124352.000000
281474976710655.000000	4.759357	1884	424546140160.000000
281474976710655.000000	4.846161	1885	424547221504.000000
281474976710655.000000	4.729675	1886	424548204544.000000
281474976710655.000000	4.805339	1887	424549318656.000000
281474976710655.000000	4.643129	1888	424550301696.000000
281474976710655.000000	4.928395	1889	424551415808.000000
281474976710655.000000	4.569429	1890	424552398848.000000
281474976710655.000000	4.824253	1891	424553480192.000000
281474976710655.000000	4.417324	1892	424554496000.000000
281474976710655.000000	4.795193	1893	424555577344.000000
281474976710655.000000	4.511210	1894	424556593152.000000
281474976710655.000000	5.024596	1895	424557674496.000000
281474976710655.000000	4.456261	1896	424558690304.000000
281474976710655.000000	4.852102	1897	424559738880.000000
281474976710655.000000	4.437612	1898	424560787456.000000
281474976710655.000000	4.988941	1899	424561836032.000000
281474976710655.000000	4.488232	1900	424562884608.000000
281474976710655.000000	4.824946	1901	424563933184.000000
281474976710655.000000	4.462242	1902	424564981760.000000
281474976710655.000000	4.771812	1903	424565997568.000000
281474976710655.000000	4.389803	1904	424567078912.000000
281474976710655.000000	4.812692	1905	424568094720.000000
281474976710655.000000	4.419973	1906	424569176064.000000
281474976710655.000000	4.826871	1907	424570191872.000000
281474976710655.000000	4.440099	1908	424571240448.000000
281474976710655.000000	4.749344	1909	424572289024.000000
281474976710655.000000	4.408926	1910	424573337600.000000
281474976710655.000000	4.805162	1911	424574386176.000000
281474976710655.000000	4.501771	1912	424575434752.000000
281474976710655.000000	4.707446	1913	424576483328.000000
281474976710655.000000	4.482110	1914	424577499136.000000
281474976710655.000000	4.732832	1915	424578580480.000000
281474976710655.000000	4.477614	1916	424579596288.000000
281474976710655.000000	4.786401	1917	424580677632.000000
281474976710655.000000	4.485267	1918	424581693440.000000
281474976710655.000000	4.664142	1919	424582774784.000000
281474976710655.000000	4.479423	1920	424583757824.000000
281474976710655.000000	4.713114	1921	424584871936.000000
281474976710655.000000	4.557570	1922	424585854976.000000
281474976710655.000000	4.628789	1923	424586969088.000000
281474976710655.000000	4.553428	1924	424587952128.000000
281474976710655.000000	4.611987	1925	424589033472.000000
281474976710655.000000	4.582456	1926	424590049280.000000
281474976710655.000000	4.528620	1927	424591130624.000000
281474976710655.000000	4.571968	1928	424592146432.000000
281474976710655.000000	4.541368	1929	424593227776.000000
281474976710655.000000	4.563960	1930	424594210816.000000
281474976710655.000000	4.560809	1931	424595324928.000000
281474976710655.000000	4.552881	1932	424596307968.000000
281474976710655.000000	4.539170	1933	424597422080.000000
281474976710655.000000	4.539233	1934	424598405120.000000
281474976710655.000000	4.564308	1935	424599519232.000000
281474976710655.000000	4.548790	1936	424600502272.000000
281474976710655.000000	4.529179	1937	424601583616.000000
281474976710655.000000	4.459914	1938	424602599424.000000
281474976710655.000000	4.589408	1939	424603680768.000000
281474976710655.000000	4.439532	1940	424604696576.000000
281474976710655.000000	4.607029	1941	424605777920.000000
281474976710655.000000	4.371216	1942	424606760960.000000
281474976710655.000000	4.649500	1943	424607875072.000000
281474976710655.000000	4.303485	1944	424608858112.000000
281474976710655.000000	4.638595	1945	424609939456.000000
281474976710655.000000	4.323179	1946	424610955264.000000
281474976710655.000000	4.751409	1947	424612036608.000000
281474976710655.000000	4.266256	1948	424613052416.000000
281474976710655.000000	4.688146	1949	424614133760.000000
281474976710655.000000	4.239612	1950	424615149568.000000
281474976710655.000000	4.640580	1951	424616198144.000000
281474976710655.000000	4.218349	1952	424617246720.000000
281474976710655.000000	4.609693	1953	424618295296.000000
281474976710655.000000	4.251934	1954	424619343872.000000
281474976710655.000000	4.541432	1955	424620392448.000000
281474976710655.000000	4.223424	1956	424621441024.000000
281474976710655.000000	4.528913	1957	424622489600.000000
281474976710655.000000	4.254565	1958	424623538176.000000
281474976710655.000000	4.543322	1959	424624586752.000000
281474976710655.000000	4.224322	1960	424625635328.000000
281474976710655.000000	4.609296	1961	424626651136.000000
281474976710655.000000	4.274694	1962	424627699712.000000
281474976710655.000000	4.567252	1963	424628748288.000000
281474976710655.000000	4.288214	1964	424629796864.000000
281474976710655.000000	4.501417	1965	424630845440.000000
281474976710655.000000	4.257717	1966	424631861248.000000
281474976710655.000000	4.512628	1967	424632942592.000000
281474976710655.000000	4.340993	1968	424633958400.000000
281474976710655.000000	4.416780	1969	424635039744.000000
281474976710655.000000	4.322717	1970	424636055552.000000
281474976710655.000000	4.463377	1971	424637136896.000000
281474976710655.000000	4.334888	1972	424638152704.000000
281474976710655.000000	4.449303	1973	424639234048.000000
281474976710655.000000	4.361547	1974	424640217088.000000
281474976710655.000000	4.395670	1975	424641331200.000000
281474976710655.000000	4.268621	1976	424642314240.000000
281474976710655.000000	4.304307	1977	424643428352.000000
281474976710655.000000	4.284382	1978	424644411392.000000
281474976710655.000000	4.303918	1979	424645525504.000000
281474976710655.000000	4.386657	1980	424646508544.000000
281474976710655.000000	4.297493	1981	424647622656.000000
281474976710655.000000	4.294532	1982	424648605696.000000
281474976710655.000000	4.383276	1983	424649687040.000000
281474976710655.000000	4.316571	1984	424650702848.000000
281474976710655.000000	4.353399	1985	424651784192.000000
281474976710655.000000	4.319427	1986	424652767232.000000
281474976710655.000000	4.366038	1987	424653881344.000000
281474976710655.000000	4.297983	1988	424654864384.000000
281474976710655.000000	4.411421	1989	424655978496.000000
281474976710655.000000	4.256972	1990	424656961536.000000
281474976710655.000000	4.357967	1991	424658075648.000000
281474976710655.000000	4.202744	1992	424659058688.000000
281474976710655.000000	4.429635	1993	424660140032.000000
281474976710655.000000	4.168406	1994	424661155840.000000
281474976710655.000000	4.471283	1995	424662237184.000000
281474976710655.000000	4.072454	1996	424663252992.000000
281474976710655.000000	4.456645	1997	424664334336.000000
281474976710655.000000	4.068742	1998	424665350144.000000
281474976710655.000000	4.429280	1999	424666398720.000000
281474976710655.000000	4.068223	2000	424667447296.000000
281474976710655.000000	4.375255	2001	424668495872.000000
281474976710655.000000	4.025344	2002	424669544448.000000
281474976710655.000000	4.434802	2003	424670593024.000000
281474976710655.000000	4.068973	2004	424671641600.000000
281474976710655.000000	4.459021	2005	424672657408.000000
281474976710655.000000	4.077759	2006	424673705984.000000
281474976710655.000000	4.387525	2007	424674754560.000000
281474976710655.000000	4.079732	2008	424675803136.000000
281474976710655.000000	4.242072	2009	424676851712.000000
281474976710655.000000	4.081913	2010	424677900288.000000
281474976710655.000000	4.383440	2011	424678948864.000000
281474976710655.000000	4.070203	2012	424679997440.000000
281474976710655.000000	4.335476	2013	424681046016.000000
281474976710655.000000	3.990661	2014	424682061824.000000
281474976710655.000000	4.366118	2015	424683143168.000000
281474976710655.000000	4.105768	2016	424684158976.000000
281474976710655.000000	4.280353	2017	424685240320.000000
281474976710655.000000	4.105655	2018	424686256128.000000
281474976710655.000000	4.285782	2019	424687337472.000000
281474976710655.000000	4.124932	2020	424688320512.000000
281474976710655.000000	4.250238	2021	424689434624.000000
281474976710655.000000	4.126092	2022	424690417664.000000
281474976710655.000000	4.233112	2023	424691531776.000000
281474976710655.000000	4.145940	2024	424692514816.000000
281474976710655.000000	4.227144	2025	424693628928.000000
281474976710655.000000	4.198721	2026	424694611968.000000
281474976710655.000000	4.166920	2027	424695693312.000000
281474976710655.000000	4.150990	2028	424696709120.000000
281474976710655.000000	4.151627	2029	424697790464.000000
281474976710655.000000	4.129847	2030	424698773504.000000
281474976710655.000000	4.120557	2031	424699887616.000000
281474976710655.000000	4.126100	2032	424700870656.000000
281474976710655.000000	4.175217	2033	424701984768.000000
281474976710655.000000	4.175870	2034	424702967808.000000
281474976710655.000000	4.180618	2035	424704081920.000000
281474976710655.000000	4.107713	2036	424705064960.000000
281474976710655.000000	4.145408	2037	424706179072.000000
281474976710655.000000	4.058376	2038	424707162112.000000
281474976710655.000000	4.200000	2039	424708243456.000000
281474976710655.000000	3.989791	2040	424709226496.000000
281474976710655.000000	4.211368	2041	424710340608.000000
281474976710655.000000	3.955195	2042	424711323648.000000
281474976710655.000000	4.232051	2043	424712437760.000000
