time (s)	det(V)
424497.746978	-0.076134	
424497.748979	-0.065705	
424497.752976	-0.055463	
424497.754978	-0.036996	
424497.756979	-0.027631	
424497.760978	-0.017340	
424497.762978	0.004305	
424497.764979	0.016068	
424497.766978	0.024491	
424497.768978	0.034150	
424497.770978	0.045151	
424497.772984	0.053951	
424497.776994	0.063470	
424497.778994	0.084628	
424497.780995	0.096214	
424497.782995	0.106244	
424497.784995	0.115772	
424497.786996	0.125643	
424497.788995	0.136045	
424497.790995	0.146303	
424497.792994	0.159225	
424497.796994	0.169916	
424497.798995	0.182306	
424497.800995	0.191639	
424497.802994	0.203923	
424497.804994	0.218462	
424497.806995	0.229663	
424497.808994	0.238771	
424497.812992	0.245757	
424497.814996	0.264264	
424497.816998	0.275958	
424497.820994	0.285143	
424497.822995	0.305861	
424497.824995	0.315038	
424497.826996	0.326972	
424497.828995	0.335705	
424497.830995	0.345080	
424497.832994	0.353113	
424497.834997	0.364210	
424497.838995	0.376599	
424497.840995	0.395398	
424497.842995	0.404111	
424497.844996	0.412307	
424497.846996	0.420392	
424497.848996	0.430664	
424497.852993	0.438548	
424497.854996	0.456244	
424497.856995	0.465601	
424497.860994	0.475830	
424497.862994	0.495954	
424497.864996	0.504206	
424497.866996	0.513657	
424497.868996	0.523936	
424497.872994	0.532135	
424497.874994	0.546841	
424497.879007	0.553955	
424497.881007	0.568630	
424497.883008	0.573959	
424497.885008	0.579892	
424497.887007	0.585257	
424497.891005	0.590420	
424497.893008	0.595722	
424497.895007	0.598030	
424497.899008	0.599347	
424497.901007	0.601672	
424497.903008	0.602243	
424497.905010	0.600886	
424497.907011	0.599720	
424497.909015	0.596862	
424497.913019	0.593376	
424497.917020	0.583826	
424497.919021	0.573318	
424497.921021	0.567658	
424497.923021	0.560835	
424497.925020	0.553857	
424497.929020	0.544627	
424497.931021	0.526624	
424497.933022	0.516949	
424497.937021	0.506324	
424497.939020	0.488159	
424497.941022	0.477017	
424497.943021	0.466741	
424497.945022	0.455439	
424497.947022	0.444537	
424497.951023	0.432869	
424497.955022	0.413180	
424497.957025	0.395808	
424497.959022	0.385182	
424497.961023	0.374268	
424497.963023	0.363573	
424497.967022	0.352568	
424497.969023	0.331677	
424497.971024	0.320399	
424497.975023	0.310557	
424497.977024	0.291232	
424497.979023	0.281543	
424497.981023	0.272372	
424497.983024	0.263990	
424497.985025	0.254189	
424497.989022	0.244252	
424497.993026	0.226619	
424497.995027	0.212997	
424497.997030	0.205420	
424497.999026	0.197866	
424498.001029	0.190543	
424498.005026	0.182171	
424498.007028	0.168791	
424498.009027	0.161009	
424498.013027	0.154358	
424498.015027	0.144509	
424498.017030	0.137462	
424498.019028	0.131327	
424498.021027	0.126070	
424498.023028	0.120828	
424498.025028	0.114731	
424498.029026	0.110457	
424498.031029	0.100043	
424498.033028	0.095940	
424498.035028	0.092299	
424498.050947	0.063852	
424498.052949	0.060106	
424498.056948	0.056986	
424498.058949	0.050872	
424498.060949	0.046791	
424498.062948	0.043561	
424498.064949	0.044145	
424498.066949	0.041579	
424498.070950	0.037623	
424498.074951	0.032073	
424498.076952	0.029884	
424498.078950	0.028193	
424498.080952	0.028295	
424498.082951	0.024105	
424498.086950	0.024266	
424498.088951	0.020770	
424498.090951	0.018298	
424498.094950	0.017782	
424498.096951	0.015319	
424498.098951	0.013157	
424498.100952	0.013653	
424498.102952	0.011906	
424498.104951	0.011709	
424498.108952	0.009463	
424498.110951	0.009653	
424498.112952	0.006413	
424498.114952	0.005905	
424498.116954	0.009656	
424498.118952	0.004807	
424498.120954	0.007950	
424498.122953	0.003390	
424498.124953	0.003527	
424498.128952	0.002668	
424498.132953	0.004358	
424498.134952	-0.000061	
424498.136955	0.003189	
424498.138953	0.003776	
424498.140953	0.003405	
424498.144952	0.004230	
424498.146952	0.000752	
424498.148953	0.001994	
424498.152952	0.000029	
424498.154953	0.002686	
424498.156953	0.000139	
424498.158961	0.000387	
424498.160955	0.002656	
424498.162955	0.001221	
424498.166954	-0.001446	
424498.170954	-0.001633	
424498.172955	0.000011	
424498.174957	-0.000868	
424498.176955	-0.001667	
424498.178955	-0.001700	
424498.182953	-0.001568	
424498.184955	-0.003178	
424498.186956	-0.002672	
424498.190954	-0.002272	
424498.192955	-0.001556	
424498.194955	-0.001266	
424498.196956	-0.003300	
424498.198955	-0.002025	
424498.200955	-0.002334	
424498.204959	-0.003913	
424498.208958	-0.003066	
424498.210959	-0.003437	
424498.212959	0.001117	
424498.214960	-0.001961	
424498.216959	-0.002321	
424498.220958	-0.004099	
424498.222959	-0.004622	
424498.224957	-0.003228	
424498.228958	-0.004431	
424498.230958	-0.002022	
424498.232959	-0.002866	
424498.234959	-0.003999	
424498.236959	-0.002477	
424498.238959	-0.002657	
424498.242970	-0.004445	
424498.246968	-0.002955	
424498.248970	-0.001339	
424498.250969	-0.001361	
424498.252969	-0.001796	
424498.254968	-0.001882	
424498.258968	-0.001872	
424498.260969	-0.001462	
424498.262968	-0.002902	
424498.266968	-0.002512	
424498.268969	-0.000995	
424498.270971	-0.000945	
424498.272969	-0.001486	
424498.274969	-0.001367	
424498.276969	-0.001068	
424498.280968	-0.002592	
424498.284968	-0.000661	
424498.286969	-0.000537	
424498.290967	-0.000804	
424498.292969	-0.000606	
424498.296966	-0.000313	
424498.298968	-0.000792	
424498.300968	-0.000274	
424498.304968	-0.000952	
424498.306969	0.000545	
424498.308969	0.000612	
424498.310968	0.001619	
424498.312967	0.001739	
424498.314969	0.001405	
424498.318969	0.000269	
424498.322968	0.000112	
424498.324968	0.000832	
424498.326970	0.001501	
424498.328968	-0.000337	
424498.330968	0.000348	
424498.334967	0.000829	
424498.336968	0.000537	
424498.338969	0.000429	
424498.342970	-0.000446	
424498.344970	0.001441	
424498.346969	0.000387	
424498.348971	0.001901	
424498.350970	0.001476	
424498.352971	0.000883	
424498.356969	0.001380	
424498.360970	0.001295	
424498.362970	0.002086	
424498.364970	0.002445	
424498.366971	0.001806	
424498.368969	0.001836	
424498.372968	0.001011	
424498.374970	0.000144	
424498.376969	0.000350	
424498.380970	0.000432	
424498.382972	0.002421	
424498.384971	0.001981	
424498.386970	0.001669	
424498.388970	0.002505	
424498.390971	0.003012	
424498.392969	0.001241	
424498.396970	0.003153	
424498.398970	0.002603	
424498.400970	0.001783	
424498.402970	0.003276	
424498.404969	0.002312	
424498.406973	0.002678	
424498.408971	0.003548	
424498.410970	0.002617	
424498.412971	0.001909	
424498.416970	0.002046	
424498.418970	0.002193	
424498.420971	0.004017	
424498.422970	0.002613	
424498.424970	0.003154	
424498.426970	0.002689	
424498.428970	0.002560	
424498.432968	0.000989	
424498.436969	0.002856	
