time (s)	coil I (A)	last det (V)	int current (uC)
426074.771090	0.479561	217.187500	-194.140625
426074.773091	0.827486	217.187500	-194.140625
426074.775092	0.935162	217.187500	-194.140625
426074.777091	0.931940	10.251338	0.200438
426075.853122	0.604026	176.757812	114.843750
426075.857122	0.933296	176.757812	114.843750
426075.859122	0.930910	176.757812	114.843750
426075.861124	0.929431	10.223741	0.140145
426076.900026	0.298505	106.738281	-184.375000
426076.902027	0.664304	106.738281	-184.375000
426076.904029	0.922885	106.738281	-184.375000
426076.906028	0.934457	106.738281	-184.375000
426076.908028	0.932015	10.252162	0.120465
426077.950121	0.576622	154.882812	116.210937
426077.952124	0.888838	154.882812	116.210937
426077.954123	0.933264	154.882812	116.210937
426077.956123	0.930738	10.238115	0.097347
426078.998136	0.471986	194.140625	-182.128906
426079.000138	0.821757	194.140625	-182.128906
426079.002135	0.935887	194.140625	-182.128906
426079.004136	0.932678	10.259456	0.141206
426080.014659	0.599321	163.867187	124.218750
426080.018660	0.933090	163.867187	124.218750
426080.020666	0.930648	163.867187	124.218750
426080.022665	0.929263	10.221889	0.146206
426081.095195	0.457834	219.726562	-191.699219
426081.097198	0.810596	219.726562	-191.699219
426081.099197	0.936011	219.726562	-191.699219
426081.101197	0.932766	10.260422	0.151142
426082.113242	0.843028	140.722656	144.335937
426082.115249	0.934598	140.722656	144.335937
426082.117245	0.931479	10.246269	0.093269
426083.191801	0.356921	154.492187	-227.636719
426083.193804	0.719566	154.492187	-227.636719
426083.195806	0.932439	154.492187	-227.636719
426083.197807	0.932810	154.492187	-227.636719
426083.199807	0.930846	10.239304	0.140459
426084.175864	0.544108	149.023437	152.343750
426084.177867	0.870913	149.023437	152.343750
426084.179866	0.933342	149.023437	152.343750
426084.181866	0.930594	10.236529	0.129738
426085.191881	0.581909	66.894531	-432.617187
426085.193882	0.891512	66.894531	-432.617187
426085.195883	0.933260	66.894531	-432.617187
426085.199880	0.929232	10.221552	0.054836
426086.207911	0.620085	157.128906	85.839844
426086.209913	0.908091	157.128906	85.839844
426086.211913	0.933425	157.128906	85.839844
426086.215911	0.929706	10.226763	0.050378
426087.255949	0.525349	37.500000	-477.929687
426087.257949	0.859660	37.500000	-477.929687
426087.259948	0.934270	37.500000	-477.929687
426087.261949	0.931282	10.244097	0.039996
426088.304518	0.520639	190.332031	70.800781
426088.306520	0.856526	190.332031	70.800781
426088.308519	0.934182	190.332031	70.800781
426088.310520	0.931247	10.243716	0.108643
426089.320547	0.564336	42.187500	-445.312500
426089.322551	0.882288	42.187500	-445.312500
426089.324549	0.932992	42.187500	-445.312500
426089.326549	0.930451	10.234961	0.067543
426090.402608	0.693744	210.644531	43.554687
426090.404609	0.928565	210.644531	43.554687
426090.406610	0.932934	210.644531	43.554687
426090.408610	0.930869	10.239560	0.063778
