num crossings	time (s)	maj axis (mm)	min axis (mm)	theta (rad )	slope (V/s)
3299	426038.965056	49.377447	-1.444155	-1.563066	4.661909
3301	426041.055980	52.312621	2.845495	-1.515982	4.504080
3303	426043.172203	52.368122	2.414028	-1.530450	4.399944
3305	426045.286701	52.248089	1.772943	-1.541730	4.047946
3307	426047.376822	51.919873	1.886737	-1.543404	4.053576
3309	426049.435988	49.701415	0.012282	-1.523807	4.397475
3311	426051.506555	48.393623	-0.238615	-1.494442	4.557343
3313	426053.611772	47.498149	-0.588370	-1.508868	4.292099
3317	426057.835874	48.138077	-0.346955	-1.552628	4.086830
3319	426059.923689	48.509186	-0.259395	-1.547472	3.899560
3321	426062.000124	48.591666	-0.361438	-1.537792	4.583423
3323	426064.077298	48.596897	-0.446826	-1.529224	4.269477
3325	426066.156665	48.241402	-0.414026	-1.527279	3.760885
3327	426068.243374	47.965169	-0.458519	-1.527462	4.323229
3331	426072.423668	47.615512	-0.509900	-1.533679	4.094248
3333	426074.520224	47.017792	-0.350179	-1.543667	4.107553
3335	426076.618978	47.732679	-1.172747	-1.531943	3.928513
3337	426078.726230	47.249448	-7.429076	-1.535576	4.044365
3339	426080.832643	50.144564	2.530890	-1.532772	4.518661
3341	426082.919762	47.659949	-2.111071	-1.523398	3.934469
3343	426084.919976	46.803859	-0.131390	-1.593276	4.527636
3345	426086.990462	54.244255	17.866791	-1.433901	4.212495
3347	426089.052432	54.131344	17.548940	-1.458832	5.669106
3349	426091.157449	52.571625	16.833634	-1.447951	5.175389
3351	426093.283332	50.512974	-16.527056	-1.410726	3.292906
3353	426095.380224	50.353714	-22.971936	-1.489431	5.301116
3355	426097.449880	54.064855	17.453510	-1.442564	5.421927
3357	426099.523008	54.796000	17.521000	-1.459579	4.415043
3359	426101.607102	51.911961	-17.040424	-1.421054	4.638587
3361	426103.702583	50.363450	-23.478888	-1.461609	5.278304
3363	426105.812020	52.887992	16.452887	-1.458231	4.103979
3365	426107.912896	52.690585	16.583198	-1.460405	4.825004
3367	426110.006875	52.501059	16.478007	-1.460942	5.092344
3369	426112.091802	51.436558	-17.356262	-1.452400	4.998744
3371	426114.171269	50.490368	-16.072069	-1.451355	4.720347
3373	426116.251464	53.281287	16.307960	-1.459132	3.740036
3375	426118.331475	50.330141	-15.260069	-1.426649	5.367499
3377	426120.434489	53.287057	16.713043	-1.459711	5.817639
3379	426122.555567	53.349496	16.838262	-1.474680	5.014307
3381	426124.667211	50.430360	-14.656123	-1.473068	5.665726
3383	426126.750804	53.268354	16.244575	-1.493524	4.694261
3385	426128.816299	51.393266	-15.457634	-1.465965	4.113694
3387	426130.883052	49.780842	-16.697385	-1.465591	4.890170
3389	426132.980348	49.638578	-15.423441	-1.447363	5.735678
3391	426135.100258	48.901661	-16.246487	-1.491599	5.400228
3393	426137.210464	50.986758	-16.767579	-1.445792	5.637477
3395	426139.306760	50.419012	-15.401051	-1.553714	4.990661
3397	426141.394078	53.069695	16.126026	-1.497397	5.236667
3399	426143.475648	53.121386	15.776929	-1.500597	4.670918
3401	426145.558888	52.854326	15.792914	-1.493461	4.271768
3403	426147.644989	51.392431	-16.474430	-1.487867	4.458656
3405	426149.733619	50.070768	-15.149892	-1.487114	4.789405
3407	426151.826134	50.054426	-14.041677	-1.479320	4.676911
3409	426153.920837	50.189243	-15.145391	-1.493561	4.790393
3411	426156.019998	50.716478	-15.834598	-1.487846	4.242484
3413	426158.119615	49.540607	-24.109538	-1.541059	4.650985
3415	426160.219449	51.228558	-15.535099	-1.483451	5.257547
3417	426162.311862	50.302506	-17.451522	-1.572680	5.145323
3419	426164.396711	51.741019	-15.649880	-1.493283	5.822004
3421	426166.468700	51.590766	-16.141244	-1.506145	5.372083
3423	426168.541023	50.831462	-12.435051	-1.601398	5.252502
3425	426170.625194	53.953139	15.732085	-1.529224	5.112533
3427	426172.734246	48.957948	-13.237143	-1.504493	5.672487
3429	426174.849201	52.542463	15.038540	-1.517880	4.362905
3431	426176.953814	50.584933	-14.195691	-1.499647	5.614635
3433	426179.042099	50.667654	-14.372536	-1.500967	5.341120
3435	426181.125650	50.877315	-14.301604	-1.506560	5.072691
3437	426183.199560	51.075054	-14.916576	-1.521840	5.424758
3439	426185.279111	51.144322	-16.093218	-1.534811	5.209922
3441	426187.364169	50.901125	-12.207727	-1.624115	5.111765
3443	426189.450698	54.979502	15.397635	-1.542984	5.119347
3445	426191.542688	54.478329	15.359561	-1.533521	5.686523
3447	426193.632740	54.223195	15.158248	-1.538221	5.260700
3449	426195.725837	54.620287	15.086802	-1.540898	5.725548
3451	426197.817152	54.670456	15.323496	-1.537124	5.365867
3453	426199.913808	55.070863	15.289889	-1.537907	5.695381
3455	426202.016221	50.097974	-13.618950	-1.526232	5.348023
3457	426204.122025	50.951084	-14.786738	-1.513979	5.512536
3459	426206.228732	50.209638	-8.502395	-1.666056	5.793800
3461	426208.328772	51.292954	-15.339909	-1.525266	5.426424
3463	426210.421703	50.930073	-16.718912	-1.603697	5.555993
3465	426212.502332	51.198188	-13.749747	-1.561132	5.552005
3467	426214.572759	53.801444	14.149344	-1.555164	5.265434
3469	426216.645738	52.152302	-13.674801	-1.547636	5.042606
3471	426218.732293	51.480770	-13.560126	-1.509806	5.657560
3473	426220.832573	50.279704	-10.435994	-1.676795	5.485546
3475	426222.942551	50.593251	-14.308590	-1.526223	5.621939
3477	426225.047687	50.114655	-14.191153	-1.575273	5.535756
3479	426227.149694	54.413732	14.780242	-1.565745	4.839193
3481	426229.244973	51.098792	-13.034678	-1.561801	5.596090
3483	426231.335983	51.175967	-13.038506	4.722623	5.253344
3485	426233.430650	51.569023	-13.131053	4.718298	5.809033
3487	426235.517056	54.765208	14.443096	-1.566369	5.542168
