crossing time (s)	slope (V/s)	crossing number
281474976710655.000000	7.716293	6367	429713522688.000000
281474976710655.000000	7.890240	6368	429714604032.000000
281474976710655.000000	7.842249	6369	429715619840.000000
281474976710655.000000	7.857934	6370	429716701184.000000
281474976710655.000000	7.617792	6371	429717716992.000000
281474976710655.000000	8.371380	6372	429718798336.000000
281474976710655.000000	8.046508	6373	429719781376.000000
281474976710655.000000	7.731828	6374	429720862720.000000
281474976710655.000000	7.785452	6375	429721878528.000000
281474976710655.000000	8.477088	6376	429722959872.000000
281474976710655.000000	8.304963	6377	429723975680.000000
281474976710655.000000	8.084267	6378	429725057024.000000
281474976710655.000000	8.117758	6379	429726072832.000000
281474976710655.000000	8.247647	6380	429727154176.000000
281474976710655.000000	8.297819	6381	429728169984.000000
281474976710655.000000	8.188947	6382	429729251328.000000
281474976710655.000000	8.262651	6383	429730234368.000000
281474976710655.000000	8.068457	6384	429731348480.000000
281474976710655.000000	8.007496	6385	429732331520.000000
281474976710655.000000	8.187886	6386	429733412864.000000
281474976710655.000000	8.160613	6387	429734428672.000000
281474976710655.000000	7.955268	6388	429735510016.000000
281474976710655.000000	8.052468	6389	429736525824.000000
281474976710655.000000	8.601894	6390	429737607168.000000
281474976710655.000000	8.265579	6391	429738622976.000000
281474976710655.000000	7.974682	6392	429739704320.000000
281474976710655.000000	8.055793	6393	429740720128.000000
281474976710655.000000	8.237894	6394	429741801472.000000
281474976710655.000000	8.017540	6395	429742784512.000000
281474976710655.000000	8.112222	6396	429743898624.000000
281474976710655.000000	7.826100	6397	429744881664.000000
281474976710655.000000	8.295025	6398	429745963008.000000
281474976710655.000000	7.888593	6399	429746978816.000000
281474976710655.000000	8.028269	6400	429748060160.000000
281474976710655.000000	7.827255	6401	429749075968.000000
281474976710655.000000	7.952167	6402	429750157312.000000
281474976710655.000000	7.679215	6403	429751173120.000000
281474976710655.000000	8.194667	6404	429752254464.000000
281474976710655.000000	7.727126	6405	429753270272.000000
281474976710655.000000	8.187340	6406	429754318848.000000
281474976710655.000000	7.559752	6407	429755367424.000000
281474976710655.000000	8.399471	6408	429756416000.000000
281474976710655.000000	7.713409	6409	429757431808.000000
281474976710655.000000	7.902940	6410	429758513152.000000
281474976710655.000000	7.636528	6411	429759528960.000000
281474976710655.000000	7.967263	6412	429760610304.000000
281474976710655.000000	7.955367	6413	429761626112.000000
281474976710655.000000	7.854956	6414	429762707456.000000
281474976710655.000000	7.868409	6415	429763723264.000000
281474976710655.000000	7.951874	6416	429764804608.000000
281474976710655.000000	7.754578	6417	429765820416.000000
281474976710655.000000	8.216607	6418	429766901760.000000
281474976710655.000000	7.911875	6419	429767884800.000000
281474976710655.000000	8.053956	6420	429768966144.000000
281474976710655.000000	7.879410	6421	429769981952.000000
281474976710655.000000	8.367163	6422	429771063296.000000
281474976710655.000000	8.327006	6423	429772079104.000000
281474976710655.000000	8.203783	6424	429773160448.000000
281474976710655.000000	8.253622	6425	429774176256.000000
281474976710655.000000	8.259359	6426	429775257600.000000
281474976710655.000000	8.282885	6427	429776273408.000000
281474976710655.000000	7.849166	6428	429777354752.000000
281474976710655.000000	8.043365	6429	429778337792.000000
281474976710655.000000	7.877832	6430	429779451904.000000
281474976710655.000000	7.874821	6431	429780434944.000000
281474976710655.000000	8.263452	6432	429781516288.000000
281474976710655.000000	7.963152	6433	429782532096.000000
281474976710655.000000	8.273574	6434	429783613440.000000
281474976710655.000000	8.133330	6435	429784629248.000000
281474976710655.000000	8.360019	6436	429785710592.000000
281474976710655.000000	8.364850	6437	429786726400.000000
281474976710655.000000	8.036417	6438	429787807744.000000
281474976710655.000000	7.889572	6439	429788823552.000000
281474976710655.000000	8.177584	6440	429789904896.000000
281474976710655.000000	7.737225	6441	429790887936.000000
281474976710655.000000	8.234275	6442	429791969280.000000
281474976710655.000000	7.690214	6443	429792985088.000000
281474976710655.000000	8.557935	6444	429794066432.000000
281474976710655.000000	7.918511	6445	429795082240.000000
281474976710655.000000	7.903617	6446	429796163584.000000
281474976710655.000000	7.867616	6447	429797179392.000000
281474976710655.000000	7.843959	6448	429798260736.000000
281474976710655.000000	7.692096	6449	429799276544.000000
281474976710655.000000	8.228539	6450	429800325120.000000
281474976710655.000000	7.596759	6451	429801373696.000000
281474976710655.000000	8.480980	6452	429802422272.000000
281474976710655.000000	7.482691	6453	429803470848.000000
281474976710655.000000	8.357589	6454	429804519424.000000
281474976710655.000000	7.733512	6455	429805535232.000000
281474976710655.000000	8.121075	6456	429806616576.000000
281474976710655.000000	7.975641	6457	429807632384.000000
281474976710655.000000	8.056072	6458	429808713728.000000
281474976710655.000000	8.097523	6459	429809729536.000000
281474976710655.000000	7.967972	6460	429810810880.000000
281474976710655.000000	7.892391	6461	429811826688.000000
281474976710655.000000	8.110527	6462	429812908032.000000
281474976710655.000000	7.871680	6463	429813891072.000000
281474976710655.000000	8.261253	6464	429815005184.000000
281474976710655.000000	7.804193	6465	429815988224.000000
281474976710655.000000	8.432349	6466	429817069568.000000
281474976710655.000000	8.042175	6467	429818085376.000000
281474976710655.000000	8.353660	6468	429819166720.000000
281474976710655.000000	8.328995	6469	429820182528.000000
281474976710655.000000	8.263284	6470	429821263872.000000
281474976710655.000000	8.265536	6471	429822279680.000000
281474976710655.000000	8.013959	6472	429823361024.000000
281474976710655.000000	8.290025	6473	429824376832.000000
281474976710655.000000	7.711030	6474	429825458176.000000
281474976710655.000000	7.897824	6475	429826441216.000000
281474976710655.000000	8.090928	6476	429827555328.000000
281474976710655.000000	7.867976	6477	429828538368.000000
281474976710655.000000	8.180937	6478	429829619712.000000
281474976710655.000000	8.209599	6479	429830635520.000000
281474976710655.000000	8.283470	6480	429831716864.000000
281474976710655.000000	8.285703	6481	429832732672.000000
281474976710655.000000	8.133712	6482	429833814016.000000
281474976710655.000000	8.175672	6483	429834829824.000000
281474976710655.000000	8.001609	6484	429835911168.000000
281474976710655.000000	7.850621	6485	429836894208.000000
281474976710655.000000	8.442979	6486	429838008320.000000
281474976710655.000000	7.888577	6487	429838991360.000000
281474976710655.000000	8.422436	6488	429840072704.000000
281474976710655.000000	7.748570	6489	429841088512.000000
281474976710655.000000	8.198334	6490	429842169856.000000
281474976710655.000000	7.964058	6491	429843185664.000000
281474976710655.000000	8.126412	6492	429844267008.000000
281474976710655.000000	7.819727	6493	429845282816.000000
281474976710655.000000	8.052247	6494	429846364160.000000
281474976710655.000000	7.721710	6495	429847379968.000000
281474976710655.000000	8.405287	6496	429848428544.000000
281474976710655.000000	7.556536	6497	429849477120.000000
281474976710655.000000	8.457743	6498	429850525696.000000
281474976710655.000000	7.598949	6499	429851541504.000000
281474976710655.000000	8.417503	6500	429852622848.000000
281474976710655.000000	7.897035	6501	429853638656.000000
281474976710655.000000	8.174337	6502	429854720000.000000
281474976710655.000000	7.975236	6503	429855735808.000000
281474976710655.000000	8.155933	6504	429856817152.000000
281474976710655.000000	8.008360	6505	429857832960.000000
281474976710655.000000	8.055346	6506	429858914304.000000
281474976710655.000000	7.782396	6507	429859930112.000000
281474976710655.000000	8.139946	6508	429861011456.000000
281474976710655.000000	7.847642	6509	429861994496.000000
281474976710655.000000	8.333281	6510	429863108608.000000
281474976710655.000000	8.107291	6511	429864091648.000000
281474976710655.000000	8.337195	6512	429865172992.000000
281474976710655.000000	8.150314	6513	429866188800.000000
281474976710655.000000	8.382922	6514	429867270144.000000
281474976710655.000000	8.422633	6515	429868285952.000000
281474976710655.000000	8.205044	6516	429869367296.000000
281474976710655.000000	8.250290	6517	429870383104.000000
281474976710655.000000	8.088700	6518	429871464448.000000
281474976710655.000000	8.196489	6519	429872447488.000000
281474976710655.000000	7.944545	6520	429873561600.000000
281474976710655.000000	7.958501	6521	429874544640.000000
281474976710655.000000	8.252837	6522	429875658752.000000
281474976710655.000000	8.258507	6523	429876641792.000000
281474976710655.000000	8.356631	6524	429877723136.000000
281474976710655.000000	8.227453	6525	429878738944.000000
281474976710655.000000	8.183700	6526	429879820288.000000
281474976710655.000000	8.263532	6527	429880836096.000000
281474976710655.000000	8.279880	6528	429881917440.000000
281474976710655.000000	7.931192	6529	429882933248.000000
281474976710655.000000	8.160865	6530	429884014592.000000
281474976710655.000000	7.760692	6531	429884997632.000000
281474976710655.000000	8.396925	6532	429886111744.000000
281474976710655.000000	7.906236	6533	429887094784.000000
281474976710655.000000	8.314918	6534	429888176128.000000
281474976710655.000000	7.847526	6535	429889191936.000000
281474976710655.000000	8.242204	6536	429890273280.000000
281474976710655.000000	7.936850	6537	429891289088.000000
281474976710655.000000	8.157365	6538	429892370432.000000
281474976710655.000000	7.689043	6539	429893386240.000000
281474976710655.000000	8.263460	6540	429894467584.000000
281474976710655.000000	7.740470	6541	429895483392.000000
281474976710655.000000	8.435436	6542	429896564736.000000
281474976710655.000000	7.755422	6543	429897580544.000000
281474976710655.000000	8.503797	6544	429898629120.000000
281474976710655.000000	7.729465	6545	429899644928.000000
281474976710655.000000	8.516614	6546	429900726272.000000
281474976710655.000000	8.072158	6547	429901742080.000000
281474976710655.000000	8.197654	6548	429902823424.000000
281474976710655.000000	8.002921	6549	429903839232.000000
281474976710655.000000	8.435336	6550	429904920576.000000
281474976710655.000000	8.050143	6551	429905936384.000000
281474976710655.000000	8.230211	6552	429907017728.000000
281474976710655.000000	8.109960	6553	429908000768.000000
281474976710655.000000	8.231322	6554	429909114880.000000
281474976710655.000000	7.956625	6555	429910097920.000000
281474976710655.000000	8.369299	6556	429911212032.000000
281474976710655.000000	8.085164	6557	429912195072.000000
281474976710655.000000	8.233095	6558	429913276416.000000
281474976710655.000000	8.222490	6559	429914292224.000000
281474976710655.000000	8.331039	6560	429915373568.000000
281474976710655.000000	8.392948	6561	429916389376.000000
281474976710655.000000	8.025259	6562	429917470720.000000
281474976710655.000000	8.350837	6563	429918486528.000000
281474976710655.000000	8.139870	6564	429919567872.000000
281474976710655.000000	8.097725	6565	429920550912.000000
