time (s)	energy (uJ)	charge (mC)	voltage (mV)	crossing#mod 255
367438.107550	15.968332	0.002368	6.743185	218
367439.153892	15.966604	0.002347	6.802999	219
367440.204105	15.615839	0.002350	6.645941	220
367441.253068	15.877824	0.002340	6.785387	221
367442.267178	16.904993	0.002356	7.175269	222
367443.349746	16.182838	0.002350	6.887433	223
367444.365815	17.051613	0.002349	7.257677	224
367445.445819	15.627564	0.002350	6.650506	225
367446.461811	16.784115	0.002359	7.115184	226
367447.545833	15.126026	0.002346	6.447549	227
367448.558771	16.436989	0.002349	6.997209	228
